topic_name,topic_id,words
Отчетность и прозрачность,7,"отчетность, отчетности, отчета, отчет, доклад, сопоставимость, обязательность, периодичность, целостность, себестоимость, завершение, открытость, объективность, презентация, экспорт, лидер, завершать, значимость, доверие, окончание, факторинг, критическии, ожидание, экспортер, экран, уникальность, турция, критически, готовность, отчетныи, подотчетность, ценность, глобализация, внешнии, наружное, независимость, поездка, преемственность, импорт, осведомленность, достоверность, тур, единство, заверение, прозрачность, лидерство, сплоченность, консолидация, заключение, туризм"
Управление рисками,8,"риска, риск, рисковои, опасность, пасность, опасныи, опасение, вероятность, инвестпрограмма, факторинг, безопасность, фактор, инвестирование, инвестировать, возникновение, открытость, иностранныи, уязвимость, внешнии, кризисныи, угроза, обесценение, инвестиция, секретариат, инвестор, аварииность, страхование, шанс, секретарь, доверие, политик, уверенность, характеризовать, инновационность, возникнуть, облучение, внешнеторговыи, страховщик, убыток, сценарии, обесценить, инвест, уникальность, безопасно, происшествие, роман, брокер, безопасныи, возможность, ректор"
Антикоррупция,17,"коррупция, коррупционныи, антикоррупция, профсоюз, конфликтныи, конфликт, профсоюзныи, политик, руппур, разрушение, правонарушение, евросоюз, нарушить, инцидент, секретариат, преступныи, нарушитель, взятка, всесоюзныи, реформирование, политика, нарушать, доверие, секретарь, разрушать, реформа, укрупненныи, происшествие, нарушение, ликвидность, исправление, преступление, дисциплинарныи, обесценение, лидер, банкротство, повреждение, сотрудник, груп, уволить, катастрофа, коллегия, факторинг, взяточничество, электропрофсоюз, репутационныи, взаимодеиствие, искажение, меняться, координационныи"
Эффективность и производительность,32,"экономика, производство, производствен, факторинг, прибыльность, экспорт, инвестиция, фабрикация, капитал, географическии, доходность, экспортныи, спрос, география, доходныи, повторяться, экспортировать, мотивировать, капитализация, площадь, капиталь, преобразование, отчетность, добыча, англия, капитальныи, вырасти, восток, убеждение, лесозаготовка, мотивация, территория, экономически, инвестиционныи, экономическии, вкладывать, мотивационныи, прибыльныи, фактор, отчет, прибыль, численность, добычныи, лизации, нефть, накладывать, севергазпром, отчетности, поселение, евразия"
Инновации,50,"инновационность, инновация, инновационныи, реновация, инвестиция, инвестировать, инвестирование, новация, инвестиционныи, уникальность, возобновлять, инвест, нововведение, патент, патентныи, новаторскии, инвестпрограмма, инвестор, уникальныи, возобновление, возвращать, возрождение, вновь, возвратить, восстанавливать, инвестированныи, возвращение, инвестмент, возврат, резервист, технология, регенерация, инвестпроект, технологически, технологичность, открытость, регенерировать, новинка, возобновить, вернуться, реставрация, обратныи, новорожденныи, повторение, остаточныи, возвращаться, единство, смирнов, технологическии, резервныи"
Лидерство,51,"лидер, лидерство, руководитель, лидерскии, органическии, организа, глава, факторинг, коррупция, менеджер, орган, руководство, организационныи, организатор, менеджерскии, разумность, иерархия, преемственность, фактор, органи, экосистема, начальник, элемент, главныи, себестоимость, характер, внешнии, личность, роль, председатель, характеризовать, организовывать, рациональныи, коррупционныи, принцип, подчинение, рационализатор, ценность, наружное, гибко, сторона, сегмент, рацион, членство, организоваться, подчиненныи, рационализация, туризм, оглавление, критическии"
Отчетность и прозрачность,68,"контролировать, контрольныи, контроль, внутреннии, аудитор, неконтрольныи, контроллинга, подконтрольныи, проверяться, проверять, аудиторскии, аудировать, аудит, управленческии, управляемость, контролер, ревизия, управлять, управляться, доверие, интерьер, управляемыи, менеджмент, доверять, ревизионныи, коррупция, регулирование, око, лидер, регулироваться, управленец, регулярно, инспекция, коррупционныи, реорганизация, внешнии, надзор, чехия, регулятор, регулировать, монастырь, регуляторныи, реорганизовать, меняться, лидерскии, проверка, порядок, разрушение, внутри, наблюдатель"
Дивиденды и акционеры,70,"дивиденд, дивидендныи, акционер, акция, акционерныи, аукцион, акциз, директор, директорат, столица, инвестировать, единство, одобрение, монополия, постановление, управленческии, дукции, федерация, принятие, разделять, власть, лидер, авторитет, арбитражныи, полномочие, исполнительныи, единовременныи, атом, учредитель, ассамблея, выделение, учредить, одобрить, капитал, капиталь, облигация, единыи, преференция, делить, дирекция, деление, управленец, амортизация, инвестиция, доля, единообразныи, единичныи, лидерство, собрание, владение"
Отчетность и прозрачность,73,"внутреннии, интерьер, доверие, доверять, риска, внешнии, лидер, аудитор, контролировать, риск, око, управляться, уверенность, рисковои, лидерскии, аудит, аудиторскии, лидерство, регулярно, управляемость, управленческии, принцип, иностранныи, независимыи, управлять, внутри, рацион, контрольныи, уверенныи, проверяться, контроль, ревизия, внеш, аудировать, наружное, директорат, уверенно, контроллинга, руководитель, поведение, рамка, неконтрольныи, сердце, дисциплина, корпо, директор, проверять, режиссер, менеджмент, открытость"
Эффективность и производительность,79,"прибыльность, прибыль, доходы, доходность, доход, прибыльныи, выручка, доходныи, налогообложение, налог, налоговыи, дивиденд, бухгалтер, бухгалтерия, убыток, дивидендныи, делистинг, рентабельность, финансовыи, отчетность, зачисление, расход, извлечение, отчисление, ликвидация, выгода, экономика, отчетности, финансово, приток, инвестиция, расчетныи, бухгалтерскии, индустриальныи, капитал, дефицит, подотчетность, рентабельныи, начисление, ликвидность, капитализация, ндфл, избыток, производ, фективность, производствен, расчет, отрабатываться, индустрия, вырабатываться"
Эффективность и производительность,89,"капитал, активизация, капитализация, активность, прибыльность, актив, капиталь, ликвидность, доходность, фективность, капитальныи, активныи, активист, ликвидация, факторинг, прибыль, рентабельность, функция, доходныи, амортизация, инвестиция, деятельно, финансовыи, прибыльныи, долгов, подотчетность, активно, функционал, отчетность, лизинговыи, независимость, имущество, инвестиционныи, дивиденд, дивидендныи, деятель, девальвация, бухгалтер, недвижимость, инвентаризация, директива, функционировать, самонесущии, непрерывность, владение, ственность, финансово, тивность, активизировать, преемственность"
Дивиденды и акционеры,93,"дивидендныи, дивиденд, непредвиденныи, разделять, акция, вложить, инвестиция, инвестиционныи, наложить, прибыль, инвестировать, поделиться, депозитарии, изложить, инвестирование, разделение, депозит, прибыльность, прибыльныи, инвестированныи, вкладывать, выделение, фондовыи, накладывать, закладывать, капитал, разделить, распределяться, доходныи, дукции, заложить, подразделение, депозитарныи, приложить, распределение, инвестор, целенаправленно, капиталь, холдинговыи, распределить, инфляция, федерация, фонд, распределенныи, вклад, инвест, пенсия, деление, инвестмент, распределять"
Лидерство,94,"директор, директорат, независимыи, режиссер, руководитель, лидер, независимость, независимо, лидерство, лидерскии, дирекция, самостоятельно, отдельность, менеджер, учитель, длительность, самооценка, отдельныи, реактор, отдельно, наставник, преподаватель, менеджерскии, советник, председатель, дирек, полярныи, управленческии, руководство, профориентация, различие, инструктор, управленец, начальник, самонесущии, столица, рационализатор, заполярье, рацион, мнение, автономныи, директо, ректор, рациональныи, выделение, педагогическии, индивидуально, сорт, выдержка, различаться"
